CustomerID,Total_Revenue,Total_Orders,Recency_Days,RFM_Score,Segment
12346,77183.6,1,325,115,Lost
12347,4310.0,7,1,555,Champions
12348,1797.24,4,74,244,At Risk
12349,1757.55,1,18,414,Potential Loyalist
12350,334.4,1,309,112,Lost
12352,2506.04,8,35,355,Others
12353,89.0,1,203,111,Lost
12354,1079.4,1,231,114,Lost
12355,459.4,1,213,112,Lost
12356,2811.43,3,22,435,Others
12357,6207.67,1,32,415,Potential Loyalist
12358,1168.06,2,1,524,Potential Loyalist
12359,6372.58,4,57,345,Others
12360,2662.06,3,51,335,Others
12361,189.9,1,286,111,Lost
12362,5226.23,10,2,555,Champions
12363,552.0,2,109,223,Lost
12364,1313.1,4,7,544,Loyal Customers
12365,641.38,2,290,123,Lost
12367,168.9,1,3,511,Potential Loyalist
12370,3545.6899999999996,4,50,345,Others
12371,1887.96,2,44,324,Others
12372,1298.04,3,71,334,Others
12373,364.6,1,310,112,Lost
12374,742.9300000000001,1,24,413,Potential Loyalist
12375,457.5,2,10,522,Potential Loyalist
12377,1628.12,2,314,124,Lost
12378,4008.62,1,129,215,Lost
12379,852.24,2,81,223,Lost
12380,2724.8100000000004,4,21,445,Loyal Customers
12381,1845.31,5,4,544,Loyal Customers
12383,1850.56,5,184,144,At Risk
12384,585.27,2,28,423,Potential Loyalist
12386,401.9,2,337,122,Lost
12388,2780.66,6,15,445,Loyal Customers
12390,549.84,1,79,213,Lost
12391,460.89,1,21,412,Potential Loyalist
12393,1582.6,4,71,344,Others
12394,1272.48,2,63,324,Others
12395,3018.63,12,18,455,Loyal Customers
12397,2409.8999999999996,2,35,325,Others
12398,1635.6599999999999,1,45,314,Others
12399,1108.65,4,118,244,At Risk
12401,84.3,1,302,111,Lost
12402,225.6,1,322,111,Lost
12403,427.7,1,49,312,Others
12405,1710.39,1,148,214,Lost
12406,3415.3,2,21,425,Potential Loyalist
12407,1708.12,5,49,344,Others
12408,2888.55,5,32,445,Loyal Customers
12409,11072.67,3,78,235,Others
12410,693.3299999999999,2,308,123,Lost
12412,1226.88,3,74,234,Others
12413,758.1,3,66,333,Others
12414,562.41,3,216,133,Others
12415,124914.53,21,23,455,Loyal Customers
12417,3649.1,9,2,555,Champions
12418,668.58,1,112,213,Lost
12420,600.39,1,63,313,Others
12421,807.04,4,15,443,Loyal Customers
12422,803.56,3,95,233,Others
12423,1859.31,8,0,554,Loyal Customers
12424,1760.9600000000003,2,162,224,Lost
12425,777.2,1,77,213,Lost
12426,582.73,1,194,113,Lost
12427,825.8,3,21,433,Others
12428,7956.46,9,25,455,Loyal Customers
12429,3750.4,4,8,545,Loyal Customers
12430,256.4,1,42,312,Others
12431,6487.45,15,35,355,Others
12432,5059.32,5,42,345,Others
12433,13375.87,7,0,555,Champions
12434,806.14,2,84,223,Lost
12435,7829.89,2,79,225,Lost
12436,509.01,1,99,213,Lost
12437,4951.41,18,1,555,Champions
12438,2906.85,2,13,425,Potential Loyalist
12441,173.55,1,366,111,Lost
12442,172.06,1,2,511,Potential Loyalist
12444,5005.46,5,20,445,Loyal Customers
12445,133.4,1,21,411,Potential Loyalist
12446,1002.3100000000001,1,57,314,Others
12447,476.49,1,242,112,Lost
12448,449.45,1,43,312,Others
12449,4067.29,4,21,445,Loyal Customers
12450,197.88,2,155,221,Lost
12451,9035.52,5,10,545,Loyal Customers
12452,430.57,2,16,422,Potential Loyalist
12453,707.09,1,133,213,Lost
12454,3528.34,1,55,315,Others
12455,2466.86,6,72,245,At Risk
12456,3181.04,3,43,335,Others
12457,2363.23,7,65,355,Others
12458,947.4000000000001,2,70,324,Others
12461,826.88,2,93,223,Lost
12462,1189.5900000000001,2,18,424,Potential Loyalist
12463,1344.78,4,52,344,Others
12464,1212.05,8,9,554,Loyal Customers
12465,742.19,2,16,423,Potential Loyalist
12468,729.5400000000001,2,187,123,Lost
12471,19824.05,30,1,555,Champions
12472,6572.110000000001,7,31,455,Loyal Customers
12473,3938.55,5,28,445,Loyal Customers
12474,7375.79,18,16,455,Loyal Customers
12475,723.38,1,53,313,Others
12476,6816.42,11,15,455,Loyal Customers
12477,13219.74,6,22,445,Loyal Customers
12478,680.99,1,3,513,Potential Loyalist
12479,527.2,1,10,513,Potential Loyalist
12480,3281.63,4,27,445,Loyal Customers
12481,5596.320000000001,10,22,455,Loyal Customers
12483,2484.98,8,16,455,Loyal Customers
12484,4541.72,6,32,445,Loyal Customers
12488,1298.66,3,9,534,Others
12489,334.93,1,335,112,Lost
12490,5417.93,10,4,555,Champions
12491,460.40000000000003,1,38,312,Others
12492,263.21000000000004,2,62,322,Others
12493,433.74,2,165,222,Lost
12494,1246.1000000000001,7,15,454,Loyal Customers
12497,1043.1,1,81,214,Lost
12498,403.7,3,20,432,Others
12500,4257.82,11,22,455,Loyal Customers
12501,2169.39,1,336,115,Lost
12502,3723.87,5,95,245,At Risk
12504,482.04999999999995,2,17,422,Potential Loyalist
12506,73.5,1,232,111,Lost
12507,1304.81,3,133,234,Others
12508,398.27,2,25,422,Potential Loyalist
12509,176.5,1,283,111,Lost
12510,982.5699999999999,2,142,224,Lost
12512,138.03,2,65,321,Others
12513,612.29,1,112,213,Lost
12514,1017.68,1,266,114,Lost
12515,383.7,1,352,112,Lost
12516,1312.06,2,77,224,Lost
12517,2502.84,5,27,445,Loyal Customers
12518,2056.89,5,0,544,Loyal Customers
12519,340.84,1,63,312,Others
12520,2634.26,5,78,245,At Risk
12521,599.68,1,142,213,Lost
12522,192.72,2,38,321,Others
12523,1789.77,11,18,454,Loyal Customers
12524,4485.719999999999,8,8,555,Champions
12526,1316.6599999999999,3,0,534,Others
12527,348.71000000000004,3,81,232,Others
12528,1933.48,6,8,544,Loyal Customers
12530,1662.28,4,59,344,Others
12531,125.22,1,14,411,Potential Loyalist
12532,349.83000000000004,1,29,412,Potential Loyalist
12534,1089.18,1,130,214,Lost
12535,716.3499999999999,2,91,223,Lost
12536,12601.830000000002,3,42,335,Others
12538,363.95,1,28,412,Potential Loyalist
12539,5568.35,4,21,445,Loyal Customers
12540,13400.24,17,19,455,Loyal Customers
12541,981.18,3,29,434,Others
12544,372.7,1,35,312,Others
12545,1000.39,2,74,224,Lost
12546,1161.5,2,46,324,Others
12547,207.8,2,197,121,Lost
12548,95.19999999999999,1,165,211,Lost
12550,964.83,1,78,214,Lost
12551,168.0,1,357,111,Lost
12552,437.82,2,38,322,Others
12553,3692.2799999999997,10,7,555,Champions
12556,603.71,2,49,323,Others
12557,11990.960000000001,5,15,445,Loyal Customers
12558,269.96,1,7,512,Potential Loyalist
12559,561.71,2,310,123,Lost
12560,2134.01,3,4,535,Others
12561,238.85,1,302,111,Lost
12562,3781.74,7,7,555,Champions
12564,456.9,1,260,112,Lost
12565,145.92,1,288,111,Lost
12566,351.65,1,85,212,Lost
12567,9401.28,10,22,455,Loyal Customers
12569,4124.6900000000005,32,1,555,Champions
12571,519.61,2,39,323,Others
12572,1020.4200000000001,2,8,524,Potential Loyalist
12573,160.54000000000002,1,226,111,Lost
12574,218.45,1,315,111,Lost
12576,1315.83,5,35,344,Others
12577,657.8,3,34,333,Others
12578,2794.51,2,20,425,Potential Loyalist
12579,440.42,1,77,212,Lost
12580,415.7,1,246,112,Lost
12581,197.71,1,39,311,Others
12582,511.36,2,238,123,Lost
12583,7281.38,15,2,555,Champions
12584,2338.15,9,3,555,Champions
12585,2040.1,2,233,124,Lost
12586,196.94000000000003,1,16,411,Potential Loyalist
12587,144.0,1,7,511,Potential Loyalist
12588,214.89999999999998,1,38,311,Others
12589,646.6800000000001,2,28,423,Potential Loyalist
12590,9864.26,2,210,125,Lost
12591,452.84999999999997,1,316,112,Lost
12592,437.6,2,91,222,Lost
12593,418.1,3,108,232,Others
12594,3338.2200000000003,10,37,355,Others
12596,618.27,2,50,323,Others
12597,3811.22,4,18,445,Loyal Customers
12598,3023.08,8,9,555,Champions
12599,1032.58,7,28,454,Loyal Customers
12600,2599.04,10,28,455,Loyal Customers
12601,577.06,5,189,143,At Risk
12602,153.12,1,58,311,Others
12603,739.1999999999999,1,21,413,Potential Loyalist
12604,254.18,2,78,222,Lost
12607,1579.51,1,59,314,Others
12609,1126.85,3,77,234,Others
12610,2099.54,5,22,445,Loyal Customers
12611,1193.32,1,51,314,Others
12612,704.0400000000001,1,73,213,Lost
12613,3344.38,5,56,345,Others
12614,315.6,1,277,112,Lost
12615,2291.19,4,1,545,Loyal Customers
12616,713.3,2,94,223,Lost
12617,355.53,1,28,412,Potential Loyalist
12618,177.31,1,21,411,Potential Loyalist
12619,3641.24,9,15,455,Loyal Customers
12620,1339.4099999999999,3,14,434,Others
12621,13689.67,20,1,555,Champions
12622,180.1,1,231,111,Lost
12623,305.1,1,275,112,Lost
12624,641.13,2,105,223,Lost
12625,2683.8199999999997,2,211,125,Lost
12626,6620.48,9,22,455,Loyal Customers
12627,4478.53,7,10,555,Champions
12628,786.46,3,3,533,Others
12630,1270.88,2,9,524,Potential Loyalist
12631,640.5,1,56,313,Others
12633,2163.98,4,58,345,Others
12635,1689.1799999999998,2,89,224,Lost
12637,6021.900000000001,9,66,355,Others
12638,671.69,1,32,413,Potential Loyalist
12639,486.1,1,238,112,Lost
12640,1174.5800000000002,3,23,434,Others
12641,185.9,1,114,211,Lost
12642,1013.26,3,24,434,Others
12643,3344.6400000000003,6,127,255,At Risk
12644,477.91,1,129,212,Lost
12645,1775.18,4,33,344,Others
12646,1346.9699999999998,2,4,524,Potential Loyalist
12647,3722.8199999999997,12,21,455,Loyal Customers
12648,318.05,1,154,212,Lost
12649,623.51,3,106,233,Others
12650,314.44,1,2,512,Potential Loyalist
12651,114.0,1,334,111,Lost
12652,919.98,1,330,113,Lost
12653,2209.85,2,148,225,Lost
12654,601.98,5,10,543,Loyal Customers
12656,4051.17,5,16,445,Loyal Customers
12657,1643.18,4,10,544,Loyal Customers
12658,686.05,1,18,413,Potential Loyalist
12659,91.68,1,29,411,Potential Loyalist
12660,245.1,1,10,511,Potential Loyalist
12662,3849.78,11,0,555,Champions
12664,4881.88,9,7,555,Champions
12665,63.0,1,324,111,Lost
12667,620.13,1,57,313,Others
12668,3807.1499999999996,4,11,545,Loyal Customers
12669,2744.0299999999997,3,150,235,Others
12670,2996.0499999999997,5,9,545,Loyal Customers
12672,225.89999999999998,1,329,111,Lost
12673,610.52,2,4,523,Potential Loyalist
12674,1970.6,4,38,344,Others
12676,1331.39,6,24,454,Loyal Customers
12678,17628.46,12,41,355,Others
12679,1113.02,4,58,344,Others
12680,862.81,4,0,543,Loyal Customers
12681,13787.539999999999,22,14,455,Loyal Customers
12682,12288.22,31,3,555,Champions
12683,8476.57,15,3,555,Champions
12684,2283.63,7,7,555,Champions
12685,2863.08,6,27,455,Loyal Customers
12686,89.14,1,371,111,Lost
12688,4873.8099999999995,1,113,215,Lost
12689,1247.61,2,25,424,Potential Loyalist
12690,389.01,1,205,112,Lost
12691,1035.8,6,27,454,Loyal Customers
12693,855.9100000000001,4,126,243,At Risk
12694,869.6700000000001,2,69,323,Others
12695,582.1,4,6,543,Loyal Customers
12697,957.5899999999999,3,28,434,Others
12700,4939.99,4,7,545,Loyal Customers
12701,797.71,2,79,223,Lost
12702,219.0,1,19,411,Potential Loyalist
12703,283.55,1,70,312,Others
12704,2340.84,8,6,555,Champions
12705,6868.29,9,14,455,Loyal Customers
12707,603.42,1,291,113,Lost
12708,2712.91,10,29,455,Loyal Customers
12709,9736.52,15,14,455,Loyal Customers
12710,1149.02,3,96,234,Others
12712,4396.13,13,28,455,Loyal Customers
12713,848.55,1,0,513,Potential Loyalist
12714,4708.86,5,8,545,Loyal Customers
12715,353.86,1,105,212,Lost
12716,1053.49,2,3,524,Potential Loyalist
12717,1030.98,2,150,224,Lost
12718,238.25,1,70,311,Others
12719,644.95,2,4,523,Potential Loyalist
12720,5781.73,25,2,555,Champions
12721,2656.13,6,31,455,Loyal Customers
12722,997.63,4,84,244,At Risk
12723,725.0699999999999,5,3,543,Loyal Customers
12724,1031.41,4,4,544,Loyal Customers
12725,427.8,1,370,112,Lost
12726,2609.1,7,27,455,Loyal Customers
12727,3980.7,7,10,555,Champions
12728,836.3299999999999,4,70,343,Others
12729,453.01,1,113,212,Lost
12731,18895.91,12,23,455,Loyal Customers
12732,236.26000000000002,1,179,111,Lost
12733,383.95,1,233,112,Lost
12734,110.39999999999999,1,352,111,Lost
12735,779.5699999999999,2,314,123,Lost
12736,234.0,1,332,111,Lost
12738,155.35,1,371,111,Lost
12739,1013.04,2,77,224,Lost
12740,427.6,1,63,312,Others
12743,546.4300000000001,2,133,223,Lost
12744,21279.29,7,51,355,Others
12747,4196.01,11,1,555,Champions
12748,33719.73,210,0,555,Champions
12749,4090.88,5,3,545,Loyal Customers
12750,275.88,1,128,212,Lost
12752,4366.78,1,80,215,Lost
12753,21429.39,6,22,455,Loyal Customers
12754,3010.74,4,235,145,At Risk
12755,3811.95,2,280,125,Lost
12756,112.07999999999998,1,86,211,Lost
12757,7857.1,13,15,455,Loyal Customers
12758,2791.59,2,116,225,Lost
12759,1531.44,3,51,334,Others
12762,1898.52,2,7,524,Potential Loyalist
12763,494.08,2,137,223,Lost
12764,1693.88,1,316,114,Lost
12766,6989.63,7,3,555,Champions
12769,1143.6,1,238,114,Lost
12770,1351.45,1,210,114,Lost
12772,892.47,1,59,313,Others
12775,1386.04,5,16,444,Loyal Customers
12778,822.23,6,19,453,Loyal Customers
12779,3981.3599999999997,8,37,355,Others
12781,826.74,2,63,323,Others
12782,2330.92,5,4,545,Loyal Customers
12783,2225.91,6,1,555,Champions
12784,574.42,2,8,523,Potential Loyalist
12785,311.95,1,363,112,Lost
12787,463.65999999999997,3,9,532,Others
12789,91.85,1,64,311,Others
12790,324.92,1,191,112,Lost
12791,192.60000000000002,1,373,111,Lost
12792,400.53999999999996,1,256,112,Lost
12793,545.48,2,334,123,Lost
12794,860.41,2,52,323,Others
12795,430.48,1,18,412,Potential Loyalist
12797,254.03,1,365,112,Lost
12798,6977.04,3,9,535,Others
12802,427.58,1,186,112,Lost
12808,483.65000000000003,3,36,332,Others
12809,489.31,1,177,212,Lost
12811,514.85,3,260,133,Others
12812,229.64000000000001,1,44,311,Others
12814,125.92,1,101,211,Lost
12815,1063.46,2,147,224,Lost
12816,572.2,2,95,223,Lost
12817,166.04,1,280,111,Lost
12818,1542.08,1,261,114,Lost
12820,942.34,4,2,544,Loyal Customers
12821,92.72,1,213,111,Lost
12822,948.88,2,70,324,Others
12823,1759.5,5,74,244,At Risk
12824,397.12,1,59,312,Others
12826,1474.72,7,2,554,Loyal Customers
12827,430.15,3,5,532,Others
12828,1018.71,6,2,554,Loyal Customers
12829,293.0,2,336,122,Lost
12830,6814.64,6,37,355,Others
12831,215.05,1,261,111,Lost
12832,383.03000000000003,2,31,422,Potential Loyalist
12833,417.38,1,144,212,Lost
12834,312.38,1,282,112,Lost
12836,2612.86,5,58,345,Others
12837,134.1,1,172,211,Lost
12838,683.1300000000001,2,33,323,Others
12839,5591.42,14,2,555,Champions
12840,2726.77,4,143,245,At Risk
12841,4022.35,25,4,555,Champions
12842,1118.99,2,69,324,Others
12843,1702.26,8,65,354,Others
12844,325.96000000000004,2,28,422,Potential Loyalist
12845,354.09,4,266,142,At Risk
12847,871.54,1,21,413,Potential Loyalist
12849,1050.8899999999999,2,30,424,Potential Loyalist
12851,135.18,1,96,211,Lost
12852,311.55,1,294,112,Lost
12853,1957.1,6,134,254,At Risk
12854,1324.5,3,78,234,Others
12855,38.1,1,372,111,Lost
12856,2179.93,6,7,555,Champions
12857,1106.4,2,210,124,Lost
12863,521.2,1,51,313,Others
12864,147.12,1,137,211,Lost
12865,1568.23,2,25,424,Potential Loyalist
12866,559.12,1,282,113,Lost
12867,4036.8199999999997,7,25,455,Loyal Customers
12868,1607.0600000000002,6,185,154,At Risk
12871,380.64,2,83,222,Lost
12872,599.97,2,326,123,Lost
12873,374.0,1,281,112,Lost
12875,343.2300000000001,2,142,222,Lost
12876,2218.02,2,57,325,Others
12877,1535.77,12,3,554,Loyal Customers
12878,854.99,2,235,123,Lost
12879,573.22,3,44,333,Others
12881,298.0,1,275,112,Lost
12882,1463.04,2,8,524,Potential Loyalist
12883,703.47,4,24,443,Loyal Customers
12884,309.05,1,87,212,Lost
12885,1175.22,3,62,334,Others
12886,1378.4,2,67,324,Others
12888,354.12,2,213,122,Lost
12890,380.46999999999997,1,23,412,Potential Loyalist
12891,331.0,3,185,132,Others
12893,188.14,1,30,411,Potential Loyalist
12895,372.8,2,41,322,Others
12897,216.5,2,204,121,Lost
12901,17654.54,28,8,555,Champions
12902,138.68,1,264,111,Lost
12904,509.58,2,17,423,Potential Loyalist
12906,2919.81,5,11,545,Loyal Customers
12908,750.0,2,175,223,Lost
12909,2178.67,5,39,345,Others
12910,3075.04,8,22,455,Loyal Customers
12912,1662.3,5,2,544,Loyal Customers
12913,2483.63,5,4,545,Loyal Customers
12915,363.65,2,148,222,Lost
12916,3006.15,4,138,245,At Risk
12917,594.0,1,127,213,Lost
12919,1335.19,6,7,554,Loyal Customers
12920,164.23,1,16,411,Potential Loyalist
12921,16587.09,37,8,555,Champions
12922,405.38,1,160,212,Lost
12923,176.97,1,63,311,Others
12924,933.7,4,87,243,At Risk
12925,694.05,2,4,523,Potential Loyalist
12928,2062.7,5,34,345,Others
12929,117.85,1,311,111,Lost
12930,415.8,2,77,222,Lost
12931,42055.96,15,21,455,Loyal Customers
12933,607.53,3,23,433,Others
12935,2160.7,7,1,555,Champions
12936,1063.9,4,16,444,Loyal Customers
12937,1504.27,4,14,444,Loyal Customers
12938,114.14,1,25,411,Potential Loyalist
12939,11581.8,8,63,355,Others
12940,913.54,2,54,323,Others
12942,683.9,3,130,233,Others
12944,604.51,2,35,323,Others
12945,462.95,1,287,112,Lost
12947,1603.99,6,143,254,At Risk
12948,2064.95,7,15,455,Loyal Customers
12949,4167.22,8,30,455,Loyal Customers
12950,1843.0,3,1,534,Others
12951,1064.0700000000002,6,8,554,Loyal Customers
12952,1387.79,4,5,544,Loyal Customers
12953,329.85,1,9,512,Potential Loyalist
12955,4757.16,11,0,555,Champions
12956,108.07,1,305,111,Lost
12957,4017.54,8,9,555,Champions
12962,266.39000000000004,2,6,522,Potential Loyalist
12963,1856.63,8,7,554,Loyal Customers
12965,771.91,1,88,213,Lost
12966,160.18,1,9,511,Potential Loyalist
12967,1660.9,2,357,124,Lost
12968,135.95,1,111,211,Lost
12970,452.24,4,6,542,Loyal Customers
12971,11189.91,86,3,555,Champions
12974,144.8,1,197,111,Lost
12976,738.6,1,211,113,Lost
12977,39.239999999999995,1,155,211,Lost
12980,7374.900000000001,9,157,255,At Risk
12981,372.22,2,29,422,Potential Loyalist
12982,390.54,1,242,112,Lost
12984,97.5,1,18,411,Potential Loyalist
12985,1239.38,2,0,524,Potential Loyalist
12987,558.7,2,73,223,Lost
12988,535.32,1,291,113,Lost
12989,6924.11,15,2,555,Champions
12990,409.5,3,30,432,Others
12991,503.76,2,22,423,Potential Loyalist
12993,414.76,4,22,442,Loyal Customers
12994,974.4200000000001,3,3,534,Others
12995,211.32,1,84,211,Lost
12997,1226.89,4,21,444,Loyal Customers
12999,455.88,3,195,132,Others
13000,534.85,3,106,233,Others
13001,9818.82,13,3,555,Champions
13002,120.94999999999999,1,317,111,Lost
13003,149.05,3,105,231,Others
13004,5655.91,18,11,555,Champions
13005,513.7,2,173,223,Lost
13006,81.57,1,55,311,Others
13008,229.46999999999997,1,322,111,Lost
13011,50.550000000000004,1,371,111,Lost
13012,1661.8400000000001,8,8,554,Loyal Customers
13013,4810.9400000000005,13,0,555,Champions
13014,3466.2799999999997,10,10,555,Champions
13015,3346.2799999999997,5,52,345,Others
13016,789.89,3,72,233,Others
13017,204.0,1,6,511,Potential Loyalist
13018,7277.7,28,15,455,Loyal Customers
13021,2616.38,9,3,555,Champions
13023,689.9000000000001,2,63,323,Others
13026,975.36,5,0,544,Loyal Customers
13027,6912.0,6,113,255,At Risk
13028,661.3199999999999,2,22,423,Potential Loyalist
13029,1247.5,3,30,434,Others
13030,799.48,2,10,523,Potential Loyalist
13032,1010.1800000000001,2,51,324,Others
13033,190.55,1,356,111,Lost
13034,642.77,2,54,323,Others
13035,921.88,2,73,223,Lost
13037,881.0699999999999,3,137,233,Others
13038,908.46,3,79,233,Others
13040,676.99,2,8,523,Potential Loyalist
13043,516.42,1,272,113,Lost
13044,560.47,1,290,113,Lost
13045,305.28000000000003,1,98,212,Lost
13046,629.31,2,30,423,Potential Loyalist
